net,length_um
_1143_,59.66
_0469_,59.13
net389,59.08
_0913_,58.9
_1315_,58.9
_2232_,58.86
net388,58.83
_0404_,58.56
_2104_,58.35
net186,58.14
_0100_,58.08
_1054_,57.94
_1740_,57.88
_0154_,57.855
net142,57.69
net498,57.68
_0743_,57.6
_0945_,57.48
_2170_,57.395
net88,57.16
_1228_,57.1
_0224_,56.98
_1420_,56.92
net107,56.88
_1114_,56.74
net451,56.68
net386,56.62
_0498_,56.595
_1298_,56.28
_0838_,56.24
_0949_,55.96
_1103_,55.96
_0843_,55.82
_2180_,55.63
_0656_,55.58
_0499_,55.36
_0161_,55.34
_2317_,55.34
_1919_,55.24
_0260_,55.22
_0080_,54.84
_1154_,54.44
net464,54.33
_2145_,54.26
_1242_,54.1
_0442_,54.06
_1186_,54.04
_0131_,53.955
_2211_,53.92
net160,53.76
net141,53.58
_0622_,53.56
net87,53.42
final_sum4[12],53.4
_2337_,53.32
_1598_,53.22
_0455_,53.205
_0612_,53.06
_0440_,52.98
net385,52.48
_2329_,52.47
_2108_,52.46
_1650_,52.42
net413,52.42
_2167_,52.1
_0705_,52.02
_0159_,52.01
net473,51.96
_0597_,51.92
_0902_,51.86
_0075_,51.65
_2178_,51.6
_0590_,51.58
_0738_,51.56
_1726_,51.48
_1125_,51.44
_0211_,51.28
net328,51.26
_0835_,51.18
_1205_,50.98
_0840_,50.91
_1237_,50.82
_1168_,50.56
_0602_,50.42
net476,50.42
final_sum4[11],50.34
_0313_,50.16
_0409_,50.14
_0654_,50.11
_0557_,49.98
_1581_,49.92
_0836_,49.66
_1638_,49.58
_0497_,49.54
_2347_,49.5
net383,49.46
_1216_,49.42
sm1.s1.t2.A_wire\[3\],49.42
net393,49.16
_1062_,49.04
final_sum4[10],48.98
net326,48.98
_0064_,48.755
_0600_,48.64
final_sum5[2],48.38
final_sum5[8],48.3
_0728_,48.235
final_sum5[1],48.04
_2103_,47.87
_2135_,47.62
_2095_,47.44
_1541_,47.2
_2154_,46.9
_0702_,46.78
final_sum5[0],46.68
_0920_,46.62
